ID,Original User Story,Rewritten User Story,Correction Reason,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A2US1O1,"As a parent, I want to receive real-time alerts when my child shows aggressive behavior, so I can intervene immediately.","User Story:
As a parent, I want to receive instant notifications when my child exhibits aggressive behavior so that I can intervene within 5 minutes to ensure their safety and promote positive behavior.

Acceptance Criteria:
- The alert system must detect aggressive behavior with at least 90% accuracy.
- Notifications should be sent to the parent’s device within 30 seconds of the behavior being detected.
- Parents should report a satisfaction rate of 95% or higher regarding the timeliness and effectiveness of the alerts.

Test Outline:
- Conduct behavioral assessments to evaluate the accuracy of the detection system against known aggressive behaviors.
- Measure the time taken from detection to notification delivery to ensure it meets the 30-second requirement.
- Survey parents after implementation to gauge their satisfaction with the alert system.","The original user story was clear but lacked measurable criteria and specific timeframes. The improved version enhances clarity by specifying the desired response time, accuracy, and user satisfaction metrics, making it more actionable and focused on business value.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",5,4,-1.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A2US2O1,"As a teacher, I want daily reports on students' aggression levels from wearable sensors, so I can implement effective classroom strategies.","User Story:
As a teacher, I want to receive daily reports on students' aggression levels collected from wearable sensors so that I can implement targeted classroom strategies to improve student behavior and learning outcomes.

Acceptance Criteria:
- Daily reports must be generated and delivered to the teacher within 24 hours of data collection.
- The reports should include a clear summary of aggression levels for at least 90% of students, with actionable insights for intervention.
- The effectiveness of implemented strategies should be measurable, showing at least a 20% reduction in reported aggression levels over a month.

Test Outline:
- Verify the timeliness of report generation by checking the delivery time against the 24-hour requirement.
- Review the content of the reports to ensure they meet the accuracy and insight criteria.
- Track changes in aggression levels over time to assess the impact of the strategies implemented.","The original user story was clear but lacked specific measurable criteria and a structured approach. The improved version enhances clarity by specifying the delivery timeline, accuracy requirements, and measurable outcomes, while also providing a detailed test outline.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US3O1,"As a clinician, I want access to detailed logs of a child's aggressive incidents, so I can create personalized intervention plans.","User Story:
As a clinician, I want to access comprehensive logs of a child's aggressive incidents so that I can develop tailored intervention plans that effectively address their specific behavioral needs.

Acceptance Criteria:
- The system must provide detailed incident logs that include at least 5 key data points (e.g., date, time, context, triggers, and responses) for each incident.
- Clinicians should be able to retrieve these logs within 3 seconds of making a request.
- At least 90% of clinicians should report that the logs significantly aid in creating effective intervention plans based on user feedback.

Test Outline:
- Verify the completeness of incident logs by checking for the presence of all required data points.
- Measure the response time for retrieving logs to ensure it meets the 3-second requirement.
- Conduct surveys with clinicians to assess the perceived usefulness of the logs in developing intervention strategies.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the required data points, response time, and clinician feedback, thus strengthening the overall INVEST dimensions.","effective (ISO 29148)
it (ISO 29148)
that (ISO 29148)
these (ISO 29148)
all (ISO 29148)
be able to (NASA ARM)
effective (NASA ARM)
can (NASA ARM)",4,5,1.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US4O1,"As a researcher, I want to analyze aggregated sensor data from multiple participants, so I can study the triggers of aggression in children.","User Story:
As a researcher, I want to analyze aggregated sensor data collected from at least 100 participants so that I can identify and understand the triggers of aggression in children with a confidence level of 95%.

Acceptance Criteria:
- The aggregated data must include sensor readings from a minimum of 100 participants to ensure statistical significance.
- The analysis should be completed within 2 weeks of data collection, providing timely insights for further research.
- The findings must be presented in a report that includes at least 3 actionable recommendations based on the data analysis.

Test Outline:
- Verify the completeness of the aggregated dataset to ensure it meets the participant threshold.
- Track the timeline from data collection to analysis completion to confirm it adheres to the 2-week requirement.
- Review the final report for clarity and the presence of actionable recommendations.","The original user story was clear but lacked measurable criteria and specificity regarding the data and outcomes. The improved version enhances clarity by specifying participant numbers, analysis timelines, and actionable results, thus strengthening the overall INVEST dimensions.","it (ISO 29148)
that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US5O1,"As a school administrator, I want to monitor overall aggression data across the school, so I can develop policies to enhance safety.","User Story:
As a school administrator, I want to analyze and monitor overall aggression data across the school so that I can formulate evidence-based policies that enhance student safety and well-being.

Acceptance Criteria:
- The system must aggregate and display aggression data from at least 90% of reported incidents within 24 hours.
- Reports should provide insights on trends and patterns, with at least 3 actionable recommendations for policy development based on the data.
- User satisfaction with the data reporting tool should reach a minimum of 85% in post-implementation surveys.

Test Outline:
- Verify the data aggregation process by comparing reported incidents against the system's output for accuracy and timeliness.
- Conduct user surveys to assess the effectiveness and usability of the reporting tool in generating actionable insights.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying the capability, business relevance, and measurable acceptance criteria, along with a structured test outline to ensure effectiveness.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US6O1,"As a child with ADHD, I want to wear a comfortable activity monitor, so my behavior is tracked without feeling uncomfortable.","User Story:
As a child with ADHD, I want to wear a lightweight and comfortable activity monitor so that my behavior can be tracked discreetly, allowing me to focus on my activities without discomfort.

Acceptance Criteria:
- The activity monitor must weigh no more than 50 grams to ensure comfort during daily use.
- At least 90% of users should report that the monitor does not cause any discomfort during extended wear.
- The monitor should accurately track activity levels with a minimum accuracy rate of 95% compared to standard tracking methods.

Test Outline:
- Conduct user trials to measure the weight of the monitor and gather feedback on comfort levels during various activities.
- Compare the activity tracking data from the monitor against established tracking methods to verify accuracy.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying comfort requirements, quantifiable acceptance criteria, and a structured test outline to ensure the product meets the user's needs effectively.","that (ISO 29148)
can (NASA ARM)
more (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US7O1,"As a data scientist, I want the machine learning model to accurately distinguish between aggressive and non-aggressive activities, so the system reliably identifies true aggression incidents.","User Story:
As a data scientist, I want the machine learning model to achieve at least 95% accuracy in distinguishing between aggressive and non-aggressive activities so that the system can reliably identify true aggression incidents and reduce false positives.

Acceptance Criteria:
- The model must demonstrate a precision rate of 90% or higher in identifying aggressive activities during testing.
- The recall rate for detecting true aggression incidents should be at least 85%.
- The model's performance should be validated on a dataset of at least 10,000 labeled activities to ensure robustness.

Test Outline:
- Evaluate the model's accuracy, precision, and recall using a confusion matrix on the test dataset.
- Conduct cross-validation to ensure the model's performance is consistent across different subsets of data.","The original user story was clear but lacked specific, measurable criteria for success. The improved version enhances clarity by specifying accuracy, precision, and recall metrics, along with a structured testing approach to validate the model's effectiveness.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US8O1,"As a guardian, I want to view trends of my child's aggression incidents over time, so I can understand and support their behavioral development.","User Story:
As a guardian, I want to analyze trends in my child's aggression incidents over a specified period so that I can better understand their behavioral development and provide targeted support.

Acceptance Criteria:
- The system must display a visual trend graph of aggression incidents over time, updated in real-time, with data points for at least the past 6 months.
- Users should be able to filter incidents by type and severity, with at least 80% of filters functioning correctly.
- The platform should provide actionable insights or recommendations based on the trends observed, with a satisfaction rate of 90% or higher from guardians.

Test Outline:
- Verify the accuracy and timeliness of the trend graph by comparing it against recorded incident data.
- Test the filtering functionality to ensure it meets the specified criteria and gather user feedback on the usefulness of the insights provided.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the capability, providing quantifiable acceptance criteria, and outlining a structured test plan to ensure the feature meets user needs effectively.","it (ISO 29148)
that (ISO 29148)
better (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
better (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A2US9O1,"As a privacy officer, I want all sensor data to be securely stored and access-controlled, so children's privacy is protected.","User Story:
As a privacy officer, I want all sensor data to be securely stored and access-controlled so that children's privacy is protected and compliance with regulations is ensured.

Acceptance Criteria:
- All sensor data must be encrypted both at rest and in transit, achieving a minimum encryption standard of AES-256.
- Access to sensor data should be restricted to authorized personnel only, with at least 99% of access attempts logged and monitored.
- A compliance audit must confirm that data storage and access controls meet or exceed relevant privacy regulations, with a target completion rate of 100% for audits conducted quarterly.

Test Outline:
- Verify encryption standards by conducting security assessments on stored and transmitted data.
- Review access logs to ensure that unauthorized access attempts are below 1% and that all access is appropriately logged.
- Schedule and complete quarterly audits to assess compliance with privacy regulations.","The original user story was clear but lacked measurable criteria and specific compliance goals. The improved version strengthens the focus on security and compliance, providing explicit acceptance criteria and a structured test outline to ensure children's privacy is effectively protected.","that (ISO 29148)
all (ISO 29148)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A2US10O1,"As a software developer, I want to integrate sensor data with existing health management systems, so comprehensive support services can be provided seamlessly","User Story:
As a software developer, I want to integrate sensor data with existing health management systems so that we can provide comprehensive support services seamlessly, improving patient care and operational efficiency.

Acceptance Criteria:
- The integration must successfully process and display sensor data within 5 seconds of collection for at least 95% of cases.
- The system should maintain a data accuracy rate of 98% or higher when syncing sensor data with health management systems.
- User feedback from healthcare providers should reflect a satisfaction rate of 90% or higher regarding the integration's effectiveness.

Test Outline:
- Measure the time taken for sensor data to be processed and displayed in the health management system to ensure it meets the 5-second requirement.
- Conduct data validation tests to confirm the accuracy of the integrated sensor data.
- Gather user feedback through surveys to assess satisfaction with the integration.","The original user story was clear but lacked measurable criteria and specific acceptance metrics. The improved version enhances clarity by specifying the expected performance, accuracy, and user satisfaction, making it more actionable and aligned with business goals.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A3US1O1,"As a social media moderator, I want real-time alerts of aggressive tweets, so I can promptly address and remove harmful content.","User Story:
As a social media moderator, I want to receive real-time alerts for aggressive tweets so that I can swiftly identify and remove harmful content, ensuring a safer online environment for users.

Acceptance Criteria:
- Alerts for aggressive tweets must be generated within 5 seconds of detection, allowing for timely intervention.
- The system should achieve at least 90% accuracy in identifying aggressive content to minimize false positives.
- Moderators should be able to resolve flagged tweets within 10 minutes of receiving an alert, with a target resolution rate of 95%.

Test Outline:
- Measure the time taken from the detection of aggressive tweets to the generation of alerts to ensure it meets the 5-second requirement.
- Evaluate the accuracy of the alert system by comparing flagged tweets against a manual review of content.
- Track the time taken by moderators to address alerts and calculate the resolution rate over a specified period.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying the desired response times, accuracy rates, and resolution targets, making it more actionable and aligned with business goals.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A3US2O1,"As a platform administrator, I want the aggression detection system to scale efficiently with Twitter’s data volume, so it can handle up to 778 million tweets daily using minimal resources.","User Story:
As a platform administrator, I want the aggression detection system to efficiently scale with Twitter’s data volume so that it can process up to 778 million tweets daily while utilizing no more than 70% of available server resources.

Acceptance Criteria:
- The system must handle a minimum of 778 million tweets per day without exceeding 70% resource utilization.
- The detection accuracy should remain above 95% even during peak load times.
- The system should be able to scale up or down within 5 minutes based on real-time data volume fluctuations.

Test Outline:
- Simulate tweet traffic to measure the system's performance and resource usage under maximum load conditions.
- Evaluate the accuracy of aggression detection during peak and off-peak times to ensure it meets the 95% threshold.","The original user story was clear but lacked specific measurable criteria and resource constraints. The improved version clarifies the scaling requirements, sets explicit performance metrics, and provides a structured test outline to ensure the system meets operational goals.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
more (NASA ARM)",5,5,0.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A3US3O1,"As a data scientist, I want the machine learning classifiers to adapt incrementally with new data, so the detection accuracy remains high as aggressive behavior evolves.","User Story:
As a data scientist, I want the machine learning classifiers to incrementally adapt to new data so that the detection accuracy remains above 95% as aggressive behavior patterns evolve over time.

Acceptance Criteria:
- The classifiers must update their models with new data within 24 hours of data availability.
- The detection accuracy should be evaluated monthly, maintaining at least a 95% accuracy rate.
- The system should provide a report on model performance and adaptation effectiveness after each update.

Test Outline:
- Monitor the time taken for the classifiers to incorporate new data and update their models.
- Conduct monthly evaluations of detection accuracy against a validation dataset to ensure it meets the 95% threshold.
- Review the performance reports generated after each model update for insights on adaptation effectiveness.","The original user story was clear but lacked specific measurable criteria and a structured testing approach. The improved version emphasizes quantifiable goals for accuracy, update frequency, and performance reporting, enhancing clarity and business relevance.","it (ISO 29148)
that (ISO 29148)",5,5,0.0,4,4,0.0,4,5,1.0,4,5,1.0,5,5,0.0,4,5,1.0,4,5,1.0,—
A3US4O1,"As a researcher, I want to analyze detected aggression, sarcasm, racism, and sexism in real-time, so I can study trends and patterns in online behavior.","User Story:
As a researcher, I want to analyze instances of aggression, sarcasm, racism, and sexism in real-time so that I can identify and study trends and patterns in online behavior effectively.

Acceptance Criteria:
- The system must detect and categorize at least 95% of instances of aggression, sarcasm, racism, and sexism in real-time conversations.
- Analysis results should be available within 5 seconds of detection to facilitate timely research insights.
- The accuracy of the categorization should be validated with a minimum precision rate of 90% based on a sample of 1,000 interactions.

Test Outline:
- Conduct real-time tests on a diverse dataset to measure the detection rate and categorize instances accurately.
- Evaluate the response time for analysis results to ensure they meet the 5-second requirement.
- Review a sample of categorized interactions to confirm the precision rate aligns with the specified criteria.","The original user story was clear but lacked measurable criteria and specific acceptance metrics. The improved version enhances clarity by specifying the research goals, measurable acceptance criteria, and a structured test outline to ensure the functionality meets the research needs.","that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
A3US5O1,"As a user, I want aggressive content to be minimized on my Twitter feed, so my online experience is safer and more positive.","User Story:
As a user, I want to reduce the visibility of aggressive content on my feed so that I can enjoy a safer and more positive online experience.

Acceptance Criteria:
- The system must filter out at least 80% of aggressive content based on user-defined criteria.
- Users should have the ability to customize their content filters, with changes applied within 5 seconds.
- User satisfaction regarding the reduction of aggressive content should reach at least 90% in feedback surveys.

Test Outline:
- Analyze the content displayed on user feeds before and after applying the filters to measure the percentage of aggressive content removed.
- Conduct user surveys to assess satisfaction levels with the effectiveness of the content filtering feature.","The original user story was clear but lacked measurable criteria and specificity. The improved version clarifies the user's intent, provides explicit acceptance criteria, and outlines a structured test plan to ensure the feature's effectiveness.","that (ISO 29148)
can (NASA ARM)
more (NASA ARM)",2,4,2.0,2,4,2.0,3,5,2.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A3US6O1,"As a compliance officer, I want detailed reports on detected aggressive behavior, so I can ensure the platform adheres to community guidelines and regulations.","User Story:
As a compliance officer, I want to receive comprehensive reports on instances of detected aggressive behavior so that I can ensure the platform complies with community guidelines and regulatory standards, ultimately fostering a safer environment for users.

Acceptance Criteria:
- Reports must include at least 95% of detected aggressive behavior incidents within a 24-hour reporting period.
- Each report should detail the nature of the behavior, user IDs involved, and timestamps, with a minimum of 10 data points per report.
- The system should generate reports automatically, with a success rate of 98% in report generation without errors.

Test Outline:
- Review the generated reports for completeness and accuracy against the incidents logged in the system.
- Monitor the report generation process to ensure it meets the 24-hour timeframe and checks for any errors in the output.","The original user story was clear but lacked specific, measurable criteria. The improved version enhances clarity by specifying the requirements for the reports, including accuracy, detail, and automation, while also providing a structured test outline to verify compliance.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
