ID,Original User Story,Rewritten User Story,Correction Reason,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US011,"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.","User Story:
As a site member, I want the option to mark my email address as private while keeping the rest of my profile public so that I can protect my contact information from unwanted communication.

Acceptance Criteria:
- Users must be able to toggle the privacy setting for their email address, with changes reflected in the profile within 3 seconds.
- The system should ensure that at least 95% of users who set their email to private cannot be contacted via email by other members.
- User feedback should indicate a satisfaction rate of 90% or higher regarding the privacy feature's effectiveness.

Test Outline:
- Test the functionality by changing the email privacy setting and verifying that the email address is not visible to other users.
- Conduct user surveys to assess satisfaction with the privacy options provided.","The original user story was clear but lacked measurable criteria and specific acceptance tests. The improved version clarifies the capability, emphasizes the business relevance of privacy, and provides explicit, quantifiable acceptance criteria and a structured test outline.","that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,5,1.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US012,"As a site member, I want to send an email to any member via a form, so that we can connect.","User Story:
As a site member, I want to utilize a form to send emails to other members so that I can establish connections and foster communication within the community.

Acceptance Criteria:
- The email form must allow users to send messages to at least 95% of members without errors.
- Emails should be delivered within 1 minute of submission for timely communication.
- User feedback should reflect a satisfaction rate of 90% or higher regarding the ease of use of the email form.

Test Outline:
- Test the email sending functionality by sending messages to a sample of members and tracking delivery success rates.
- Measure the time taken for emails to be delivered after submission to ensure it meets the 1-minute requirement.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the capability, business relevance, and includes quantifiable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US013,"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.","User Story:
As a site administrator, I want to review and evaluate practicing and training applications so that I can approve or reject applicants based on their qualifications, ensuring that only eligible candidates become Certified Service Providers (CSPs) or Certified Service Technicians (CSTs).

Acceptance Criteria:
- The application review process must allow administrators to make decisions within 5 minutes for at least 90% of applications.
- Administrators should be able to track the status of each application, with updates provided to applicants within 24 hours of the decision.
- The approval rate for applicants should be monitored, aiming for a target of 70% or higher for qualified candidates.

Test Outline:
- Measure the time taken for administrators to review and decide on applications to ensure it meets the 5-minute requirement.
- Implement a tracking system to verify that applicants receive status updates within the specified 24-hour timeframe.
- Analyze the approval rates over a defined period to assess the quality of applicants being approved.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying the review process, establishing quantifiable acceptance criteria, and providing a structured test outline to ensure accountability and effectiveness.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US014,"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.","User Story:
As a site administrator, I want the ability to edit any member's profile so that I can promptly address and resolve issues, ensuring a better user experience for all members.

Acceptance Criteria:
- The administrator must be able to access and edit member profiles within 3 clicks from the admin dashboard.
- Changes made to member profiles should be saved and reflected in the system within 2 seconds.
- A log of all profile edits must be maintained, with at least 95% accuracy in tracking changes.

Test Outline:
- Verify the number of clicks required to access and edit a member's profile from the admin dashboard.
- Measure the time taken to save changes to ensure it meets the 2-second requirement.
- Review the edit log to confirm that all changes are accurately recorded.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the administrator's capabilities, providing measurable acceptance criteria, and outlining a structured test plan to ensure functionality.","it (ISO 29148)
that (ISO 29148)
better (ISO 29148)
all (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
better (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US015,"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.","User Story:
As a site visitor, I want to access the latest news on the home page so that I can stay informed about agile developments and trends in real-time.

Acceptance Criteria:
- The home page must display the latest news articles, updated at least every 30 minutes.
- At least 80% of visitors should report that the news section meets their expectations for relevance and timeliness.
- Users should be able to click on news articles to read full content, with a loading time of no more than 3 seconds.

Test Outline:
- Monitor the frequency of news updates to ensure they occur within the 30-minute window.
- Conduct user surveys to assess satisfaction with the news content and its relevance.
- Measure the loading time for news articles to confirm it meets the 3-second requirement.","The original user story was clear but lacked measurable criteria and specificity. The improved version enhances clarity by defining the user's needs, establishing quantifiable acceptance criteria, and providing a structured test outline to ensure the functionality meets user expectations.","it (ISO 29148)
that (ISO 29148)
every (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
more (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US016,"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.","User Story:
As a site visitor, I want to access archived news articles that are no longer featured on the home page so that I can easily find and reference past events or topics that have been discussed.

Acceptance Criteria:
- Users must be able to retrieve archived news articles within 3 clicks from the main navigation.
- The search functionality for archived news should return relevant results with at least 85% accuracy.
- The system should maintain an archive of at least 12 months of news articles for user access.

Test Outline:
- Test the navigation process to ensure users can access archived articles within the specified number of clicks.
- Conduct search tests on archived content to measure the accuracy of results against a set of known articles.","The original user story was clear but lacked measurable criteria and specificity. The improved version clarifies the user's intent, provides explicit acceptance criteria, and outlines a structured test plan to ensure the functionality meets user needs.","that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
US017,"As a site visitor, I want to email news items to the editor, so that they can be considered for publication.","User Story:
As a site visitor, I want to submit news items via email to the editor so that my contributions can be reviewed for potential publication, increasing community engagement and diverse content.

Acceptance Criteria:
- Users must be able to send news items via email with a confirmation response received within 5 minutes for at least 90% of submissions.
- The submission form should allow attachments of up to 5MB and support common file formats (e.g., .docx, .pdf, .jpg).
- The editor should provide feedback on the submitted news items within 7 days, ensuring timely communication.

Test Outline:
- Test the email submission process to verify that confirmation responses are sent within the specified time frame.
- Check the functionality of the submission form to ensure it accepts the allowed file formats and sizes.
- Monitor the editor's response time to ensure feedback is provided within the 7-day window.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the submission process, measurable acceptance criteria, and a structured test outline to ensure the functionality meets user needs.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US018,"As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.","User Story:
As a site editor, I want to configure the Start Publishing Date, Old News Date, and Stop Publishing Date for each news item so that articles are published accurately and remain relevant throughout their intended lifecycle.

Acceptance Criteria:
- The system must allow editors to set and save all three dates with a success rate of 98% or higher.
- The publishing dates should be reflected on the site within 1 minute of being set.
- Editors should receive a confirmation notification for each date set, with a satisfaction rate of 90% or higher in user feedback.

Test Outline:
- Test the functionality by setting various dates for multiple news items and verifying that they are saved correctly.
- Measure the time taken for the dates to appear on the site after being set to ensure it meets the 1-minute requirement.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by explicitly stating the desired functionality, providing quantifiable acceptance criteria, and outlining a structured test plan to ensure the feature meets user needs.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
US019,"As a site member, I want to subscribe to an RSS feed of news, so that I remain sufficiently and easily informed.","User Story:
As a site member, I want to subscribe to an RSS feed of news updates so that I can stay informed about relevant topics effortlessly and receive updates in real-time.

Acceptance Criteria:
- Users must be able to subscribe to the RSS feed with a single click, achieving a subscription success rate of 98%.
- The RSS feed should deliver updates within 5 minutes of publication for at least 90% of news articles.
- User satisfaction regarding the ease of subscribing and the relevance of the news should reach at least 85% based on feedback surveys.

Test Outline:
- Test the subscription process to ensure it completes successfully with a single click and track the success rate.
- Monitor the time taken for news updates to appear in the RSS feed after publication to verify the 5-minute criterion.
- Conduct user surveys to assess satisfaction levels regarding the subscription process and content relevance.","The original user story was clear but lacked measurable criteria and specific benefits. The improved version enhances clarity by specifying the user's needs, providing quantifiable acceptance criteria, and outlining a structured test plan to ensure the functionality meets user expectations.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US020,"As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.","User Story:
As a site editor, I want to assign priority numbers to news articles so that I can effectively highlight the most important content on the site, ensuring that users see the most relevant information first.

Acceptance Criteria:
- Editors must be able to assign priority numbers ranging from 1 to 5, with 1 being the highest priority, for at least 95% of news items.
- The system should automatically update the display order of articles based on assigned priority numbers within 3 seconds.
- User engagement metrics (e.g., click-through rates) for featured articles should increase by at least 20% within one month of implementing the priority system.

Test Outline:
- Test the functionality by assigning priority numbers to a sample set of articles and verifying the display order.
- Analyze user engagement data before and after the implementation to measure the impact on click-through rates.","The original user story was clear but lacked measurable criteria and specific outcomes. The improved version enhances clarity by specifying the range of priority numbers, the expected system response time, and quantifiable metrics for user engagement, thus strengthening the overall INVEST criteria.","most (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,5,1.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US021,"As a site visitor, I want to see a list of all upcoming Certification Courses and can page through them if there are a lot, so that I can choose the best course for me.","User Story:
As a site visitor, I want to view a comprehensive list of all upcoming Certification Courses with pagination options so that I can easily browse and select the most suitable course for my professional development.

Acceptance Criteria:
- The list must display at least 20 courses per page, with the ability to navigate through a minimum of 5 pages.
- Each course entry should include essential details such as course title, date, duration, and a brief description.
- The system should load the course list within 3 seconds for at least 95% of users.

Test Outline:
- Verify the pagination functionality by checking the number of courses displayed per page and the ability to navigate through multiple pages.
- Measure the loading time of the course list to ensure it meets the 3-second requirement.","The original user story was clear but lacked specificity and measurable criteria. The improved version enhances clarity by detailing the pagination feature, specifying the number of courses per page, and establishing measurable acceptance criteria and a test outline.","most (ISO 29148)
it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US022,"As a site visitor, I want to see a list of all upcoming Other Courses and can page through them if necessary, so that I can choose the best course for me.","User Story:
As a site visitor, I want to view a comprehensive list of all upcoming courses categorized as ""Other Courses"" and have the ability to paginate through the list so that I can easily select the course that best fits my needs.

Acceptance Criteria:
- The list must display at least 20 courses per page, with pagination controls available for navigating through additional pages.
- Users should be able to load the course list within 3 seconds to ensure a smooth browsing experience.
- At least 90% of users should report satisfaction with the ease of finding and selecting courses based on a post-visit survey.

Test Outline:
- Measure the loading time of the course list to confirm it meets the 3-second requirement.
- Conduct usability testing with users to evaluate the effectiveness of the pagination and overall satisfaction with the course selection process.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the number of courses per page, response time, and user satisfaction metrics, making it more actionable and focused on user experience.","best (ISO 29148)
it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
best (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US023,"As a site visitor, I want to see a list of all upcoming Events, so that I can decide if I want to attend any.","User Story:
As a site visitor, I want to view a comprehensive list of all upcoming events so that I can evaluate my options and decide which events I would like to attend.

Acceptance Criteria:
- The events list must display at least 95% of all scheduled events with accurate details, including date, time, and location.
- The loading time for the events list should not exceed 3 seconds for 90% of users.
- Users should have the option to filter events by category, date, and location, with filters applying within 2 seconds.

Test Outline:
- Verify the accuracy of the events displayed by cross-referencing with the event scheduling database.
- Measure the loading time of the events list under various conditions to ensure it meets the 3-second requirement.
- Test the filtering functionality to confirm that it responds within the specified time frame.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the user's needs, providing quantifiable acceptance criteria, and outlining a structured test plan to ensure the functionality meets user expectations.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US024,"As a trainer, I want to create a new course or event, so that site visitors can see it.","User Story:
As a trainer, I want to create and publish a new course or event on the platform so that site visitors can easily discover and enroll in it, enhancing their learning opportunities.

Acceptance Criteria:
- The course creation process must allow trainers to input all necessary details (title, description, schedule) and save it within 5 minutes.
- The new course or event should be visible to site visitors within 1 hour of publication.
- At least 80% of users should report that they can easily find and enroll in the new course or event within a week of its launch.

Test Outline:
- Measure the time taken to complete the course creation process from start to finish.
- Verify the visibility of the newly created course or event on the site within the specified timeframe.
- Conduct user surveys to assess the ease of finding and enrolling in the course or event.","The original user story was too general and lacked measurable criteria. The improved version specifies the trainer's role, clarifies the capability, and outlines explicit, business-relevant benefits along with measurable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US025,"As a trainer, I want to create an Other Course or Event I am charged a listing fee for that activity, so that I don't list events I don't really intend to hold.","User Story:
As a trainer, I want to create a listing for an Other Course or Event with a required listing fee so that I can ensure that only serious events are posted, reducing clutter and enhancing the quality of offerings.

Acceptance Criteria:
- The system must charge a listing fee of $50 for each event created, ensuring commitment from trainers.
- At least 80% of listed events should be held as scheduled, indicating the effectiveness of the fee in filtering serious listings.
- Users should be able to view and manage their event listings within 5 minutes of creation.

Test Outline:
- Verify the implementation of the listing fee by creating multiple events and confirming the charge is applied correctly.
- Track the percentage of events that are actually held versus those listed over a 3-month period to assess the impact of the fee.","The original user story was unclear and lacked measurable criteria. The improved version specifies the role, capability, and business benefit while providing quantifiable acceptance criteria and a structured test outline to enhance clarity and focus.","that (ISO 29148)
those (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
US026,"As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.","User Story:
As a site administrator, I want to create an Other Course or Event without incurring a listing fee so that the Scrum Alliance can host Scrum Gatherings without additional financial burden.

Acceptance Criteria:
- The system must allow the creation of at least 10 Other Courses or Events per quarter without a listing fee.
- The process for creating these events should be completed within 5 minutes for at least 90% of attempts.
- A confirmation notification must be sent to the administrator within 1 minute of successful event creation.

Test Outline:
- Track the number of Other Courses or Events created each quarter to ensure it meets the target of 10.
- Measure the time taken to complete the event creation process and verify it meets the 5-minute requirement.
- Monitor the delivery time of confirmation notifications to ensure they are sent within the specified timeframe.","The original user story was unclear and lacked measurable criteria. The improved version specifies the role, capability, and business benefit while providing explicit acceptance criteria and a structured test outline to enhance clarity and focus on measurable outcomes.","it (ISO 29148)
that (ISO 29148)
these (ISO 29148)
can (NASA ARM)",4,5,1.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US027,"As a site administrator, I want to set the listing fee per Other Course or Event, so that we have flexibility on what to charge in the future.","User Story:
As a site administrator, I want to configure the listing fee for each Other Course or Event so that we can adjust pricing strategies based on market demand and maximize revenue potential.

Acceptance Criteria:
- The system must allow administrators to set and update listing fees for each course or event with changes reflected in real-time.
- Administrators should be able to set fees ranging from $10 to $500, ensuring flexibility in pricing.
- A confirmation message must be displayed after each fee update, with at least 95% of updates processed successfully without errors.

Test Outline:
- Test the fee configuration feature by setting various fees and verifying that the changes are accurately reflected on the site.
- Monitor the success rate of fee updates over a week to ensure it meets the 95% threshold.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the flexibility in pricing, measurable acceptance criteria, and a structured test outline to ensure functionality.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US028,"As a trainer, I want to update one of my existing courses or events, so that it reflects accurate information.","User Story:
As a trainer, I want to update the details of my existing courses or events so that they accurately reflect the latest information and enhance participant engagement.

Acceptance Criteria:
- Updates to course or event details must be processed and visible to users within 3 minutes of submission.
- At least 95% of updates should be successfully saved without errors.
- User feedback should show a satisfaction rate of 90% or higher regarding the accuracy of the updated information.

Test Outline:
- Measure the time taken for updates to appear in the system after submission to ensure it meets the 3-minute requirement.
- Track the success rate of updates over a month to confirm it meets the 95% threshold.
- Conduct user surveys to assess satisfaction with the accuracy of the updated course or event information.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the trainer's role, the capability to update, and the business relevance of accurate information, along with measurable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
