id,status,rounds,original_text,final_text,overall_before,overall_after,I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,delta_overall
US017,done,9,"As a site visitor, I want to email news items to the editor, so that they can be considered for publication.","User Story:
As a site visitor, I want to submit news articles directly to the editor via an email form, enabling them to evaluate the content for potential publication.

Acceptance Criteria:
- Develop a user-friendly email submission interface for news articles
- Guarantee that each submission triggers an acknowledgment email
- Allow editors to seamlessly review and organize incoming news article submissions

Test Outline:
- Assess the ease of use and functionality of the email submission interface
- Verify that a confirmation email is sent immediately after the article is submitted
- Review the editor's dashboard for streamlined access and management of submitted articles",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US018,done,3,"As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.","User Story:
As a content manager, I want to specify the Start Publishing Date, Old News Date, and Stop Publishing Date for a news article so that the content is released and managed according to the designated timeline.

Acceptance Criteria:
- Ability to set a Start Publishing Date for the article.
- Define an Old News Date to indicate when the article transitions to archived status.
- Establish a Stop Publishing Date to cease the article's visibility.

Test Outline:
- Verify that the Start Publishing Date is correctly applied to the article.
- Check that the Old News Date is accurately reflected in the article's status.
- Ensure the Stop Publishing Date effectively removes the article from public view.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,3,2.0,1.0
US019,done,9,"As a site member, I want to subscribe to an RSS feed of news, so that I remain sufficiently and easily informed.","User Story:
As a registered user of the platform, I want to sign up for an RSS news feed so that I can effortlessly stay updated on the latest news.

Acceptance Criteria:
- Complete the subscription process for the RSS feed successfully.
- Receive prompt notifications regarding new articles.
- Easily locate the feed from my account dashboard.

Test Outline:
- Confirm that the subscription procedure is user-friendly and operates correctly.
- Monitor the delivery of news updates to ensure they are timely.
- Verify that the RSS feed is readily accessible from the user's dashboard.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US020,done,9,"As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.","User Story:
As a content manager, I aim to implement a ranking system for news articles, enabling me to effectively highlight the most impactful stories on the website.

Acceptance Criteria:
- Assign a priority score to each news article to determine its significance.
- Ensure that articles with higher priority scores are displayed more prominently on the website.
- Create an intuitive interface that allows for easy adjustments to priority rankings as needed.

Test Outline:
- Verify that priority scores can be assigned to news articles without issues.
- Evaluate the visibility and positioning of articles based on their assigned priority scores.
- Test the functionality for modifying priority rankings and confirm that changes are accurately reflected on the website.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US021,done,3,"As a site visitor, I want to see a list of all upcoming Certification Courses and can page through them if there are a lot, so that I can choose the best course for me.","User Story:
As a prospective learner, I want to access a comprehensive list of upcoming Certification Courses and navigate through multiple pages if necessary, so that I can select the most suitable course for my needs.

Acceptance Criteria:
- Display a complete list of upcoming Certification Courses.
- Implement pagination to allow users to browse through multiple pages of courses.
- Ensure that course details are easily accessible for informed decision-making.

Test Outline:
- Verify that all upcoming Certification Courses are listed on the site.
- Check that pagination functions correctly, allowing navigation through course pages.
- Confirm that course information is clear and detailed for user selection.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,1.0
US022,done,9,"As a site visitor, I want to see a list of all upcoming Other Courses and can page through them if necessary, so that I can choose the best course for me.","User Story:
As a prospective student, I want to access a comprehensive list of all upcoming Other Courses and navigate through multiple pages if needed, so that I can select the most suitable course for my needs.

Acceptance Criteria:
- Display a complete list of upcoming Other Courses.
- Enable pagination for easy navigation through the course listings.
- Ensure that course details are accessible for each entry.

Test Outline:
- Verify that all upcoming Other Courses are listed accurately.
- Check that pagination functions correctly, allowing users to move between pages.
- Confirm that clicking on a course provides detailed information.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US023,done,3,"As a site visitor, I want to see a list of all upcoming Events, so that I can decide if I want to attend any.","User Story:
As a site visitor, I want to access a comprehensive list of upcoming events so that I can evaluate my interest in attending any of them.

Acceptance Criteria:
- Display a complete and organized list of all upcoming events.
- Include essential details for each event, such as date, time, and location.
- Ensure the list is updated in real-time to reflect any changes or new additions.

Test Outline:
- Verify that the events list is visible and accessible on the site.
- Check that all relevant event details are correctly presented.
- Confirm that the list updates automatically with new events or changes.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,1.0
US024,done,9,"As a trainer, I want to create a new course or event, so that site visitors can see it.","User Story:
As an educator, I want to launch a new course or event so that visitors to the website can easily find and participate in it.

Acceptance Criteria:
- Successfully publish a course or event listing on the platform
- Ensure the new listing is accessible to all website users
- Provide key information including date, time, and a detailed description

Test Outline:
- Confirm that the course or event is visible on the website post-publication
- Validate that all pertinent details are accurately presented
- Ensure that visitors can navigate to the listing without any difficulties",1,2,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,2,2,0.0,0,2,2.0,1.0
US025,done,6,"As a trainer, I want to create an Other Course or Event I am charged a listing fee for that activity, so that I don't list events I don't really intend to hold.","User Story:
As a course organizer, I want to launch a new course or event with a defined listing fee, ensuring that I only promote activities I am genuinely committed to hosting.

Acceptance Criteria:
- Successfully establish a new course or event with a transparent fee structure for listing.
- Ensure that the listing fee effectively deters the promotion of events without firm commitment.
- Verify that all event details are accurately presented upon creation.

Test Outline:
- Confirm that the listing fee is enforced during the creation of the course or event.
- Ensure that only events with a verified commitment to take place are displayed.
- Inspect the event page to guarantee that all information is correctly showcased.",2,3,2,2,0.0,2,3,1.0,2,2,0.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US026,done,9,"As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.","User Story:
As a site administrator, I want to establish a listing for a complimentary Other Course or Event, ensuring that the Scrum Alliance does not impose any charges for its own Scrum Gatherings.

Acceptance Criteria:
- Successfully create an event listing that is free of charge.
- Correctly classify the event under the Other Course or Event category.
- Ensure the listing is visible and accessible to all users without restrictions.

Test Outline:
- Verify that the event listing process allows for submissions that do not incur any fees.
- Check the event's classification to confirm it aligns with the Other Course or Event criteria.
- Evaluate the listing's visibility on the site to ensure users can easily find it.",2,3,2,2,0.0,2,3,1.0,2,2,0.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US027,done,6,"As a site administrator, I want to set the listing fee per Other Course or Event, so that we have flexibility on what to charge in the future.","User Story:
As a site administrator, I want to create a flexible pricing model for each Other Course or Event, allowing us to adapt our pricing strategies as market conditions evolve.

Acceptance Criteria:
- Establish a clear fee structure tailored for Other Courses and Events.
- Ensure that fees can be easily adjusted through the admin interface.
- Implement a user notification system to alert them of any fee modifications.

Test Outline:
- Confirm that the listing fee can be set and modified for each course or event without issues.
- Ensure that any fee updates are accurately displayed in the user interface.
- Test the notification system to verify that users receive timely alerts regarding fee changes.",2,3,2,2,0.0,2,3,1.0,2,2,0.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US028,done,9,"As a trainer, I want to update one of my existing courses or events, so that it reflects accurate information.","User Story:
As an instructor, I want to modify the details of one of my current courses or events to ensure that the information presented is precise and up-to-date.

Acceptance Criteria:
- Successfully access the course or event for editing.
- Implement changes to the course or event details.
- Confirm that the updated information is accurately displayed to users.

Test Outline:
- Verify that the editing functionality is accessible for the selected course or event.
- Check that the modifications are saved and reflected correctly.
- Ensure that users can view the revised information without discrepancies.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US029,done,9,"As a trainer, I want to delete one of my courses or events, so that it's no longer listed if I cancel for some reason.","User Story:
As an educator, I want the ability to remove a course or event from my listings, ensuring it is not displayed if I need to cancel it for any reason.

Acceptance Criteria:
- Effectively delete a selected course or event from the platform.
- Confirm that the removed course or event no longer appears in my listings.
- Ensure that all enrolled participants receive timely notifications about the cancellation.

Test Outline:
- Perform the deletion of a course or event and verify its successful removal.
- Review the listings to confirm the absence of the deleted course or event.
- Validate that notifications regarding the cancellation have been sent to users.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US030,done,9,"As a trainer, I want to copy one of my courses or events, so that I can create a new one.","User Story:
As an educator, I want to replicate an existing course or event, allowing me to streamline the creation of a new offering.

Acceptance Criteria:
- Successfully generate a duplicate of the chosen course or event.
- Ensure that all pertinent information and resources are carried over to the new iteration.
- Facilitate straightforward adjustments to the replicated course or event.

Test Outline:
- Confirm that the duplication process preserves all essential details from the original.
- Verify that the new course or event is editable without complications.
- Ensure that the duplicated course or event appears as a distinct entry from the original.",1,2,2,2,0.0,1,3,2.0,2,2,0.0,1,2,1.0,2,2,0.0,0,2,2.0,1.0
US031,done,9,"As a site admin, I want to delete any course or event, so that I can remove things that will no longer occur.","User Story:
As a site administrator, I want the capability to permanently remove any course or event, allowing me to efficiently manage outdated or canceled listings on the platform.

Acceptance Criteria:
- Successfully execute the deletion of a course or event from the system.
- Ensure that the deletion can be undone within a defined recovery window.
- Confirm that users receive notifications regarding any courses or events that have been removed.

Test Outline:
- Assess the deletion feature across a range of courses and events.
- Validate that items can be restored within the specified recovery timeframe.
- Review user notifications to ensure they accurately reflect the deletions made.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US032,done,9,"As a site editor, I want to update any course or event, so that I can fix things the original author hasn't.","User Story:
As a content administrator, I want the ability to modify any course or event details so that I can correct inaccuracies or enhance information that may have been overlooked by the original creator.

Acceptance Criteria:
- Complete permissions to edit all relevant course and event information
- Edits can be saved smoothly without encountering any errors
- A notification confirming the successful updates is displayed

Test Outline:
- Verify that the content administrator can access and edit all necessary course and event information
- Ensure that changes are saved effectively and reflected immediately
- Check that a confirmation message is shown after the updates are successfully completed",1,2,2,3,1.0,1,3,2.0,2,3,1.0,0,2,2.0,2,2,0.0,0,2,2.0,1.0
US033,done,3,"As a trainer, I want to turn a course into an event or an event into a course, so that I can correctly classify anything that was entered incorrectly.","User Story:
As an educator, I want to convert a course into an event or vice versa, enabling me to accurately categorize any entries that were misclassified.

Acceptance Criteria:
- Successfully transform a course into an event when needed.
- Effectively change an event into a course as required.
- Ensure all misclassified entries are correctly identified and reclassified.

Test Outline:
- Verify that a course can be converted to an event without data loss.
- Check that an event can be transformed into a course seamlessly.
- Validate that all previously misclassified entries are now accurately categorized.",2,3,2,2,0.0,2,3,1.0,2,2,0.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US034,done,3,"As a site visitor, I want to have an advanced search option that lets me fill in a form of search criteria, so that I can quickly find what I am looking for.","User Story:
As a website visitor, I want to utilize an enhanced search feature that allows me to input specific search parameters, so that I can efficiently locate the information I need.

Acceptance Criteria:
- Provide a user-friendly form for entering search criteria.
- Ensure search results are displayed within 3 seconds of submission.
- Allow filtering options to refine search results based on user preferences.

Test Outline:
- Test the functionality of the search criteria form for usability.
- Measure the response time for search results after form submission.
- Verify that filtering options effectively narrow down the search results.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US035,done,9,"As a site visitor, I want to view a course I can click on the trainer's name and be taken to the trainer's profile, so that I can read more about a trainer before registering for a course.","User Story:
As a prospective student, I want to click on the trainer's name to access their profile, allowing me to gather detailed insights about the trainer before deciding to enroll in a course.

Acceptance Criteria:
- Confirm that the trainer's name is interactive and redirects to their dedicated profile page.
- Present thorough and relevant information about the trainer on their profile.
- Ensure users can effortlessly return to the course page after exploring the trainer's profile.

Test Outline:
- Validate that clicking the trainer's name successfully navigates to the appropriate profile.
- Assess the trainer's profile for the depth and relevance of the information provided.
- Check that users can return to the course page without any navigation issues.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,3,1.0,1,2,1.0,0.0
US036,done,9,"As a site visitor, I want to subscribe to an RSS feed of upcoming courses and events, so that I am up to day without having to visit the site.","User Story:
As a site visitor, I want to enroll in an RSS feed for upcoming courses and events, enabling me to stay informed without needing to frequently check the website.

Acceptance Criteria:
- Successfully subscribe to the RSS feed for courses and events.
- Receive timely updates through the feed whenever new content is available.
- Ensure the feed is accessible and easy to integrate with various RSS readers.

Test Outline:
- Verify that the subscription process for the RSS feed is functional.
- Check for timely updates in the RSS feed after new courses or events are posted.
- Test the feed's compatibility with multiple RSS reader applications.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,3,1.0,1,2,1.0,0.0
US037,done,9,"As a site visitor, I want to read FAQs, so that I can get quick answers.","User Story:
As a visitor to the website, I want to easily locate the FAQ section so that I can quickly find answers to my queries.

Acceptance Criteria:
- The FAQ section is prominently featured and easily accessible from the homepage.
- Each entry in the FAQ provides straightforward and informative responses.
- The section is regularly refreshed to include the most frequently asked questions.

Test Outline:
- Confirm that the FAQ link is clearly visible on the homepage.
- Assess that each FAQ entry delivers clear and useful information.
- Examine the FAQ section for recent updates to ensure it remains relevant.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US038,done,9,"As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.","User Story:
As a content manager, I aim to create a detailed FAQ section to reduce the number of common inquiries directed to the support team.

Acceptance Criteria:
- Compile a thorough list of common questions along with their detailed answers.
- Ensure the FAQ section is prominently displayed and easy to navigate on the website.
- Regularly review and refresh the FAQ content based on user feedback and emerging trends.

Test Outline:
- Evaluate the FAQ section for thoroughness and user-friendliness.
- Analyze the change in support inquiry volume before and after the FAQ launch.
- Use analytics to measure user interaction and engagement with the FAQ section.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US039,done,3,"As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.","User Story:
As a website visitor, I want to perform a comprehensive search of the FAQs so that I can swiftly locate the information I need.

Acceptance Criteria:
- Enable full-text search functionality across all FAQ entries.
- Ensure search results are displayed within 2 seconds.
- Provide relevant suggestions as users type their queries.

Test Outline:
- Test the search feature with various keywords to confirm it retrieves accurate results.
- Measure the response time for search results to ensure it meets the 2-second requirement.
- Verify that the search bar offers relevant suggestions during input.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US040,done,9,"As a site member, I want to download the latest training material and methodology PDFs, so that I have them.","User Story:
As a registered user of the platform, I want seamless access to download the latest training materials and methodology PDFs, ensuring I have the most up-to-date resources at my fingertips.

Acceptance Criteria:
- Provide a clear and accessible option for downloading the latest training material PDFs.
- Ensure that methodology PDFs are easily available for download.
- Confirm that all downloaded files are the latest versions and correctly formatted.

Test Outline:
- Verify that the download links for training materials function correctly and lead users to the most recent files.
- Check that methodology PDFs can be downloaded without any issues.
- Evaluate the quality and formatting of the downloaded files to ensure they meet established standards.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US041,done,9,"As a visitor, I want to download presentations, PDFs, etc. on Scrum, so that I can learn from them or use them.","User Story:
As a site visitor, I want to access and download various resources such as presentations and PDFs on Scrum, so that I can enhance my knowledge and apply the concepts effectively.

Acceptance Criteria:
- Provide a clear list of downloadable resources related to Scrum.
- Ensure all downloadable files are accessible without errors.
- Confirm that the downloads are in commonly used formats (e.g., PDF, PPT).

Test Outline:
- Verify that the resource list includes relevant Scrum materials.
- Test the download functionality for each resource to ensure they work correctly.
- Check that the files are in the specified formats and can be opened without issues.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US042,done,9,"As a site member, I want to scroll through a listing of jobs, so that I can see if there any I am interested in.","User Story:
As a registered user, I want to browse a comprehensive selection of job opportunities so that I can find positions that match my professional goals.

Acceptance Criteria:
- Display a well-organized list of available job openings.
- Provide a fluid scrolling experience through the job listings for continuous engagement.
- Highlight job titles and essential details for quick identification.

Test Outline:
- Verify that the job listings are correctly presented and easy to navigate.
- Assess the scrolling functionality for responsiveness and fluidity.
- Check that job titles and key information are clearly visible and stand out.",1,2,2,2,0.0,1,2,1.0,2,2,0.0,1,1,0.0,2,2,0.0,0,2,2.0,1.0
US043,done,3,"As a recruiter, I want to post a help wanted ad, so that I can attract candidates.","User Story:
As a hiring manager, I want to publish a job advertisement so that I can draw in qualified candidates for open positions.

Acceptance Criteria:
- Successfully create and submit a help wanted ad.
- Ensure the ad is visible on relevant job boards and platforms.
- Track the number of applications received within a specified timeframe.

Test Outline:
- Verify that the job ad is posted and accessible to potential applicants.
- Monitor the visibility of the ad across various recruitment channels.
- Analyze the volume of applications generated in response to the ad.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US044,done,9,"As a site admin, I want to approve each help wanted ad before it gets to the site, so that we're sure of the quality of jobs being listed.","User Story:
As a site administrator, I want to assess and authorize every job listing prior to its publication, ensuring that only high-quality opportunities are presented on the platform.

Acceptance Criteria:
- Implement a rigorous evaluation process for all incoming job listings.
- Ensure that only thoroughly vetted and sanctioned advertisements are visible to users.
- Maintain a detailed tracking system that monitors each job listing from submission to final approval.

Test Outline:
- Verify that all job listings require administrator approval before they can be published.
- Confirm that any listings lacking approval are not visible on the website.
- Examine the tracking system to ensure it accurately reflects the status of each job listing throughout the approval process.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,2,0.0,1,3,2.0,0.0
